"Indicatif","HeureStart","HeureStop","TempsAttentePiste","TempsArretTotal"
6852,23704,24924,60,0
6855,24240,25181,0,0
6854,24175,25386,0,0
6857,24739,25763,60,0
6856,24663,25882,5,0
6859,25238,26205,0,0
6858,25140,26384,63,0
6861,25703,26641,0,0
6860,25637,26782,0,0
6863,26173,27194,60,0
6862,26128,27313,6,0
6865,26651,27653,60,0
6864,26638,27833,0,0
6866,27126,28128,60,0
6867,27148,28302,0,0
6868,27591,28551,0,0
6869,27653,28807,0,0
6870,28064,29027,0,0
6871,28134,29361,60,0
6872,28537,29505,0,0
6873,28634,29799,0,0
6874,29002,29952,0,0
6876,29307,30263,0,0
6875,29148,30442,93,0
6878,29614,30621,66,0
6877,29499,30740,78,0
6880,29924,30938,60,0
6879,29821,31057,110,0
6882,30224,31176,19,0
6881,30159,31363,0,0
6884,30533,31503,0,0
6883,30485,31627,0,0
6886,30839,31805,0,0
6885,30805,31933,0,0
6888,31134,32100,0,0
6889,31439,32330,0,0
6887,31126,32449,113,0
6890,31448,32620,0,0
6891,31733,32799,96,0
6893,32037,33031,60,0
6892,31765,33150,171,0
6895,32340,33269,37,0
6894,32083,33388,106,0
6896,32403,33567,65,0
6898,32649,33686,70,0
6897,32633,33843,0,0
6900,32969,33962,23,0
6899,32873,34083,0,0
6902,33273,34299,60,0
6901,33108,34478,161,0
6903,33330,34597,136,0
6905,33594,34716,164,0
6904,33558,34835,138,0
6907,33901,34954,87,0
6906,33796,35073,70,0
6909,34199,35192,23,0
6908,34021,35371,187,0
6910,34253,35490,86,0
6912,34506,35609,132,0
6911,34489,35728,164,0
6914,34804,35907,132,0
6913,34734,36086,162,0
6916,35113,36205,122,0
6915,34967,36384,241,0
6919,35413,36503,145,0
6917,35194,36622,236,0
6918,35407,36741,146,0
6921,35719,36860,174,0
6920,35632,36979,145,0
6923,36027,37098,139,0
6922,35839,37277,252,0
6924,36051,37396,153,0
6926,36400,37515,155,0
6925,36395,37634,48,0
6928,36778,37753,14,0
6927,36769,37954,0,0
6930,37155,38073,42,0
6929,37121,38318,0,0
6932,37532,38490,0,0
6931,37466,38624,0,0
6934,37905,38886,60,0
6933,37823,39005,10,0
6936,38282,39224,0,0
6935,38173,39445,60,0
6938,38658,39600,0,0
6937,38527,39736,0,0
6940,39025,39914,0,0
6939,38875,40095,60,0
6942,39393,40349,0,0
6941,39215,40468,76,0
6944,39759,40777,60,0
6943,39557,40896,125,0
6946,40056,41025,0,0
6945,39909,41204,153,0
6948,40342,41323,13,0
6947,40204,41442,35,0
6950,40644,41621,70,0
6949,40501,41800,119,0
6952,40945,41919,18,0
6951,40790,42038,120,0
6954,41244,42201,0,0
6953,41093,42320,41,0
6956,41549,42460,0,0
6955,41374,42639,97,0
6958,41846,42790,0,0
6957,41669,42909,67,0
6960,42145,43057,0,0
6959,41976,43176,24,0
6962,42449,43480,60,0
6961,42285,43599,143,0
6963,42586,43718,29,0
6964,42766,43897,186,0
6965,42882,44088,60,0
6966,43069,44267,231,0
6968,43374,44386,45,0
6967,43179,44505,147,0
6970,43598,44624,112,0
6969,43475,44743,124,0
6972,43827,44862,84,0
6973,44056,45015,0,0
6971,43811,45134,109,0
6975,44281,45313,80,0
6974,44146,45492,161,0
6977,44495,45671,212,0
6978,44717,45790,160,0
6976,44468,45909,235,0
6980,44937,46028,148,0
6979,44804,46207,198,0
6982,45150,46326,257,0
6983,45374,46505,193,0
6981,45128,46684,344,0
6985,45591,46803,247,0
6984,45464,46922,268,0
6987,45808,47041,267,0
6988,46023,47160,193,0
6986,45779,47339,361,0
