Indicatif,HeureStart,HeureStop,TempsAttentePiste,TempsArretTotal
3511,39673,41575,700,0
3514,40170,41694,559,0
3518,40716,41813,133,0
3515,40205,41932,536,0
3516,40438,42051,649,0
3517,40479,42170,525,0
3522,41247,42289,101,0
3523,41260,42408,6,0
3520,40978,42527,595,0
3519,40738,42706,770,0
3521,41008,42825,651,0
3526,41791,42944,225,0
3525,41525,43123,673,0
3524,41517,43242,525,0
3530,42333,43361,64,0
3529,42073,43480,220,0
3527,41794,43599,595,0
3528,42058,43718,690,0
3534,42878,43837,13,0
3531,42338,44016,531,0
3532,42608,44195,621,0
3533,42616,44314,515,0
3538,43421,44433,70,0
3537,43163,44552,208,0
3536,43154,44671,591,0
3535,42888,44790,693,0
3540,43715,44909,257,0
3543,44004,45028,101,0
3539,43429,45147,511,0
3545,44288,45266,25,0
3544,44286,45385,48,0
3541,43725,45564,644,0
3546,44580,45683,135,0
3542,43995,45802,606,0
3547,44594,45981,192,0
3548,44869,46100,312,0
3550,45167,46219,92,0
3549,44896,46338,227,0
3552,45452,46457,61,0
3551,45177,46576,197,0
3554,45731,46695,32,0
3553,45474,46814,154,0
3555,45761,46993,29,0
3556,46030,47172,242,0
3558,46317,47351,70,0
3557,46049,47470,217,0
3560,46610,47589,9,0
3559,46339,47768,287,0
3562,46909,47887,15,0
3561,46617,48006,187,0
3563,46926,48136,0,0
3564,47383,48333,60,0
3565,47399,48602,0,0
3566,47857,48886,60,0
3567,47875,49096,60,0
3568,48333,49351,60,0
3569,48362,49577,60,0
3570,48808,49774,0,0
3571,48861,50036,0,0
3572,49281,50245,60,0
3573,49365,50556,0,0
3574,49758,50699,0,0
3575,49849,51062,0,0
3576,50239,51208,0,0
3577,50350,51560,0,0
3578,50719,51739,72,0
3580,51056,52025,0,0
3579,50842,52144,113,0
3582,51387,52263,15,0
3581,51228,52430,0,0
3584,51721,52749,60,0
3583,51635,52868,42,0
3586,52058,53023,0,0
3585,52026,53205,0,0
3587,52400,53360,0,0
3588,52419,53603,0,0
3589,52736,53782,107,0
3590,52822,54054,36,0
3591,53077,54173,179,0
3593,53418,54325,0,0
3592,53218,54504,127,0
3595,53765,54706,0,0
3594,53608,54885,143,0
3597,54109,55038,0,0
3596,53998,55217,67,0
3599,54556,55544,60,0
3598,54407,55663,51,0
3600,54912,56006,7,0
3601,54993,56125,179,0
3603,55428,56394,0,0
3602,55410,56618,60,0
3604,55864,56821,0,0
3605,55921,57104,60,0
3606,56303,57264,0,0
3607,56419,57626,0,0
3608,56741,57745,68,0
3609,56919,58171,49,0
3610,57184,58290,179,0
3611,57427,58578,0,0
3612,57625,58697,107,0
3614,58068,59091,60,0
3613,57931,59210,64,0
3615,58293,59462,0,0
3616,58516,59581,101,0
3617,58647,59857,0,0
3618,58961,59976,46,0
3619,58999,60166,0,0
3621,59414,60384,0,0
3620,59336,60503,31,0
3623,59862,60831,0,0
3622,59695,60950,83,0
3624,60042,61194,0,0
3625,60305,61373,137,0
3626,60369,61569,0,0
3628,60749,61712,0,0
3627,60720,61896,0,0
3630,61200,62165,0,0
3629,61085,62344,68,0
3631,61439,62649,19,0
3632,61635,62828,239,0
3634,62109,63060,0,0
3633,61913,63239,148,0
3635,62387,63412,0,0
3636,62580,63550,0,0
3638,63057,64028,0,0
3637,62848,64147,113,0
3640,63525,64469,0,0
3639,63327,64588,90,0
3642,64000,64951,0,0
3641,63801,65070,101,0
3644,64469,65411,0,0
3643,64275,65530,73,0
3646,64937,65846,0,0
3645,64757,66025,86,0
3647,65229,66430,0,0
3648,65526,66609,138,0
3649,65771,66970,0,0
3650,66099,67149,82,0
3651,66312,67514,0,0
3652,66673,67702,60,0
3653,66839,68022,0,0
3654,67253,68208,60,0
3655,67372,68573,0,0
3656,67841,68800,60,0
3657,67904,69104,60,0
3658,68427,69453,60,0
3659,68447,69622,0,0
3661,68866,69821,0,0
3660,68725,69940,1,0
3664,69294,70267,8,0
3662,68998,70446,239,0
3663,69275,70625,146,0
3666,69735,70744,55,0
3665,69531,70863,176,0
3667,69814,71072,60,0
3668,70089,71251,27,0
3669,70173,71370,274,0
3671,70624,71587,0,0
3670,70376,71706,116,0
3672,70649,71853,0,0
3674,71066,72002,0,0
3673,70935,72147,0,0
3675,71211,72445,60,0
3677,71497,72564,96,0
3676,71480,72691,0,0
3679,71932,72866,0,0
3678,71753,72985,75,0
3682,72367,73299,4,0
3681,72262,73418,37,0
3680,72035,73537,298,0
3683,72520,73709,0,0
3684,72768,73828,93,0
3685,72771,73983,0,0
3686,73006,74196,20,0
3687,73170,74315,179,0
3688,73254,74434,19,0
3690,73579,74553,6,0
3689,73507,74721,0,0
3691,73740,74907,0,0
3693,73985,75026,77,0
3692,73977,75145,27,0
3695,74388,75344,0,0
3694,74220,75463,38,0
3696,74469,75684,0,0
3698,74793,75803,42,0
3697,74717,75922,49,0
3699,74961,76229,54,0
3700,75191,76408,4,0
3701,75200,76527,358,0
3703,75610,76646,68,0
3702,75441,76765,117,0
3704,75689,76884,71,0
3705,76339,77258,0,0
3706,76474,77722,60,0
3707,77066,78019,0,0
3708,77266,78375,0,0
3709,77793,78752,0,0
3710,78064,79276,0,0
3711,78528,79433,0,0
3712,78853,80067,0,0
3713,79261,80203,0,0
3714,79649,80782,0,0
3715,80628,81590,0,0
3716,81049,82264,0,0
3717,81992,82952,0,0
3718,82448,83646,0,0
3719,83363,84292,0,0
3720,83837,85030,0,0
3721,85483,107,60,0
3722,85860,633,0,0
3723,1198,2167,0,0
3724,1488,2643,60,0
3725,4729,5614,0,0
3726,5120,6267,0,0
3727,11845,12802,0,0
3728,12180,13338,0,0
3729,13406,14371,0,0
3730,13902,15084,0,0
3731,14978,15927,0,0
3732,15647,16900,60,0
3733,16883,17843,0,0
3734,17507,18630,0,0
3735,18795,19755,0,0
3736,19306,20226,0,0
3737,19363,20517,0,0
3738,19813,20779,0,0
3739,19889,21084,60,0
3740,20334,21296,0,0
3741,20422,21609,0,0
3742,20848,21805,0,0
3743,20942,22217,60,0
3744,21354,22396,125,0
3745,21465,22609,0,0
3746,21872,22824,0,0
3747,21988,23161,0,0
3748,22459,23408,0,0
3749,22581,23789,0,0
3750,23056,24053,60,0
3751,23158,24316,0,0
3752,23646,24578,0,0
3753,23738,24952,0,0
3754,24244,25205,0,0
3755,24307,25464,60,0
3756,24833,25864,60,0
3757,24880,26132,60,0
3758,25425,26450,60,0
3759,25465,26695,60,0
3760,25958,26916,0,0
3761,26008,27209,0,0
3762,26492,27414,0,0
3763,26532,27685,0,0
3764,27033,28051,60,0
3765,27071,28224,0,0
3766,27574,28497,0,0
3767,27616,28878,60,0
3768,28115,29076,0,0
3769,28139,29307,0,0
3770,28651,29660,60,0
3771,28671,29932,60,0
3772,29187,30187,60,0
3773,29197,30472,60,0
3775,29620,30591,10,0
3774,29468,30770,102,0
3776,29754,30962,0,0
3778,30048,31081,63,0
3777,30035,31310,60,0
3780,30477,31447,0,0
3779,30294,31566,57,0
3781,30588,31802,0,0
3783,30909,31981,128,0
3782,30884,32100,76,0
3785,31338,32275,0,0
3784,31178,32454,105,0
3786,31478,32691,0,0
3788,31766,32810,84,0
3787,31761,32941,0,0
3790,32196,33156,0,0
3789,32056,33275,19,0
3791,32335,33537,0,0
3793,32626,33656,75,0
3792,32623,33830,0,0
3796,33023,33972,0,0
3794,32796,34151,174,0
3797,33124,34330,56,0
3799,33416,34509,122,0
3798,33296,34628,118,0
3795,32960,34747,574,0
3801,33666,34926,92,0
3803,33844,35105,90,0
3800,33478,35284,592,0
3802,33821,35403,624,0
3805,34201,35522,120,0
3809,34624,35641,49,0
3806,34229,35760,571,0
3804,34036,35879,643,0
3812,35019,35998,30,0
3807,34376,36117,542,0
3808,34549,36296,571,0
3810,34717,36475,611,0
3811,34896,36654,543,0
3813,35067,36773,503,0
3817,35555,36892,125,0
3816,35424,37011,616,0
3814,35227,37130,708,0
3815,35388,37249,652,0
3819,35817,37428,671,0
3818,35738,37607,668,0
3820,35910,37726,647,0
3822,36221,37845,732,0
3821,36086,37964,681,0
3824,36528,38143,657,0
3823,36397,38262,664,0
3826,36829,38381,622,0
